List of Unani Colleges across country as on 29.08.2025,,,,
S. No,College ID,State,Name of the College,Govt./Aided/Priv ate/ Deemed
1,UNI0276,Andhra Pradesh,"Dr. Abdul Haq Unani Medical College & Hospital, 40/23, Park Road Kurnool-518001,
Andhra Pradesh",Government Aided
2,UNI0279,Bihar,"Salfia Unani Medical College and Hospital, Moh.- Dumduma, P.O. Laheriasarai,
Dist.-Darbhanga-846001, Bihar",Private
3,UNI0280,Bihar,"Nizamia Unani Medical College & Hospital, Dumri, P.O. Rasalpur,
Via-Buniyadganj, Distt. Gaya, Bihar-823003",Private
4,UNI0437,Bihar,"Sufia Unani Medical College Hospital & Research centre,
Ahmad Nagar, Imadpatti,
Bara Chakia, Motihari,           Champaran-845412, Bihar",Private
5,UNI0277,Bihar,"Govt. Tibbia College and Hospital, Budh Murti, Kadam Kuan, Patna-800003, Bihar",Government
6,UNI0278,Bihar,"Zulfequar Haider Unani Medical College & Hospital, Nawalpur, PB No. 12, Siwan-841226, Bihar",Private
7,UNI0284,Jammu & Kashmir,"Unani Medical College and Hospital, Institute of Asian Medical Sciences, Habbak
Crossing Zakoora, Near BARC, Srinagar, Sumbal Shilwat-190006
Jammu & Kashmir",Private
8,UNI0285,Jammu & Kashmir,"Kashmir Tibbia College Hospital & Research Centre, Taleemabad Shilvath Sonawari Tehsil Sumbal, District Bandipora-193501,
Jammu & Kashmir",Private
9,UNI0617,Jammu & Kashmir,"Govt. Unani Medical College and Hospital, Shalateng, Nawabagh Ganderbal, Srinagar-193501, Jammu & Kashmir",Government
10,UNI0589,Jammu & Kashmir,"Regional Research Institute of Unani Medicine (RRIUM), Naseem Bagh Campus, University of Kashmir, Srinagar-190006, Jammu & Kashmir",Government
11,UNI0287,Karnataka,"Luqman Unani Medical College & Hospital, 12, Naubag, Bijapur-586101, Vijayapura, Karnataka",Private
12,UNI0288,Karnataka,"Tipu Sultan Shaheed Education Trust,
Unani Medical College, Millat Nagar, Kalaburagi (Gulbarga),
Ring Road, Gulbarga-585104, Karnataka",Private
S. No,College ID,State,Name of the College,Govt./Aided/Priv ate/ Deemed
13,UNI0463,Karnataka,"Inamdar Unani Medical College & Hospital, Chacha Layout Behind Mahindra Showroom, Sedam Road, Gulbarga, Kalaburgi-585105, Karnataka",Private
14,UNI0289,Karnataka,"HMS Unani Medical College & Hospital, Sadashiv Nagar, II Stage, Ring Road, P.O. Marlur, Tumkur- 572105, Karnataka",Private
15,UNI0286,Karnataka,"Govt. Unani Medical College, Dr. Siddaiah Puranik Road,
Basaveshwara nagar, Bangalore-560079, Karnataka",Government
16,UNI0290,Karnataka,"National Institute of Unani Medicine, Kottige Palaya, Magadi Main Road, Bangalore-560091, Karnataka",National Institute (government)
17,UNI0358,Kerala,"Markaz Unani Medical College & Hospital, Puthuppadi, P.O. Kozhlkode - 673586, Kerala",Private
18,UNI0294,Madhya Pradesh,"Hakim Abdul Hamid Unani Medical College, 3, Eidgah Road, Dewas-455001,
Madhya Pradesh",Private
19,UNI0293,Madhya Pradesh,"Hakim Syed Ziaul Hassan, Government Unani Medical College, Science Hills, Behind Manit, Ayush Parisar, Bhopal-462003, Madhya Pradesh",Government
20,UNI0292,Madhya Pradesh,"Al-Farooque Unani Tibbia College, Bye Pass Road Arendiya Indore-452016, Madhya Pradesh",Private
21,UNI0291,Madhya Pradesh,"Saifia Hamidia Uniani Tibbia College & Hospital, Near Ganpati Naka, Khandwa Road, Burhanpur- 450331, Madhya Pradesh",Private
22,UNI0299,Maharshtra,"Iqra Education Society’s,
Unani Medical College Hospital
& Research Center, G.No.25/2, Iqra Nagar, Mohdi Shivar, Shirsoli Road,      Post Box No. 40, Jalgaon 425135,
Maharashtra",Private
23,UNI0296,Maharshtra,"Mohammadia Tibbia College & Assayer Hospital, PB No. 128, Mansoora, Malegaon, Distt. Nasik 423203, Maharashtra",Govt.-Aided
24,UNI0298,Maharshtra,"Ahmed Gharib Unani Medical College,
Molgi Road, Jamia Campus, AT. Akkalkuwa, Distt. Nandurbar-425415,
Mahrashtra",Private
S. No,College ID,State,Name of the College,Govt./Aided/Priv ate/ Deemed
25,UNI0561,Maharshtra,"Al-Ameen Unani Medical College,
Sayne Khurd, Gat No. 92/1, Dhule Road, Malegaon-423203, Dist. Nashik Maharashtra",Private
26,UNI0297,Maharshtra,"Z.V.M. Unani Medical College & Hospital, K B Hidayatullah Road, New Modikhana Azam Campus, 2390, Shankar Sheth Rd, Pune, Maharashtra",Government Aided
27,UNI0315,Maharshtra,"Yunus Fazlani Unani Medical College and Al Fazlani Unani Hospital, Kunjkheda, At. Kunjkheda Post wadali Aurangabad-431103, Maharashtra",Private
28,UNI0295,Maharshtra,"Anjuman-I-Islam's Dr. Ishaq Jamkhanawala Tibbia Unani Medical College &
Haji Abdul Razak Kalsekar, Tibbia Hospital, 60, Yari Road, Versova, Andheri (West) Mumbai 400061,
Maharashtra",Govt. Aided
29,UNI0283,New Delhi,"School of Unani Medical Education and Research, Jamia Hamdard (Deemed University), Mehrauli- Badarpur Rd, Near Batra Hospital, Block D, Hamdard Nagar-110062, New Delhi",Deemed
30,UNI0282,New Delhi,"Ayurvda and Unani Tibbia College, Ajmal Khan Road, Karol Bagh Govt. of NCT, New Delhi-110005",Government
31,UNI0426,Punjab,"Rehbar Ayurvedic & Unani Tibbi Medical College, Sangrur Road, Patiala, Punjab",Private
32,UNI0425,Rajasthan,"Govt. University College of Unani, Viii. -Yusufpura at Charai, Tonk, Rajasthan",Government
33,UNI0300,Rajasthan,"Rajputana Unani Medical College Hospital and Research Centre,
Khonagoriyan, Jagat pura Road, Near Jama Masjid, Jaipur-302031",Private
34,UNI0301,Rajasthan,"Rajasthan Unani Medical College & Hospital, Dravid Nagar, Opp. Jagdamba Colony, Paldi Meena, Agra Road, Jaipur-302031, Rajasthan",Private
35,UNI0302,Tamil Nadu,"Government Unani Medical College, Arignar Anna Govt. Hospital of Indian Medicine Campus, Arumbakkam,                Chennai-600106,
Tamil Nadu",Government
36,UNI0275,Telangana,"Govt. Nizamia Tibbia College, Charminar, Hyderabad-500002, Telangana",Government
S. No,College ID,State,Name of the College,Govt./Aided/Priv ate/ Deemed
37,UNI0588,Telangana,"Central Research Institute for Unani Medicine (CRIUM), (National Research Institute of Unani Medicine for Skin Disorders), Opp. ESI Metro Station, AG Colony Road, near Erragadda, Hyderabad, Telangana-500038",Government
38,UNI0312,Uttar Pradesh,"Dr. Abdul Ali Tibbia College & Hospital, Ahmadabad Katauli, Malihabad, Lucknow-226102, Uttar Pradesh",Private
39,UNI0311,Uttar Pradesh,"Eram Unani Medical College & Hospital,
Kursi Road, Near Gudamba Police Station, Lucknow- 226026,
Uttar Pradesh",Private
40,UNI0307,Uttar Pradesh,"Deoband Unani Medical College, Hospital Research Centre, Deoband, Naya Bans, Near Telhari Chungi, Distt. Saharanpur-247554
Uttar Pradesh",Private
41,UNI0305,Uttar Pradesh,"Jamia Tibbia Deoband,
G.T. Road, Deoband, Distt. Saharanpur-247554 Uttar Pradesh",Private
42,UNI0304,Uttar Pradesh,"State Unani Medical College & Hakim Ahmed Husain Republic Day Memorial Hospital,
Old GT Road, near SB! ATM, Khuldabad, Himmatganj, Prayagraj-211001,
Uttar Pradesh",Government
43,UNI0303,Uttar Pradesh,"State Takmeel-ut-Tib College & Hospital, Hkm. Abdul Aziz Road, Jhawai Tola Chaupatia, Lucknow- 226002
Uttar Pradesh",Government
44,UNI0306,Uttar Pradesh,"Ibne-Sina Tibbia College & Hospital, Beenapara, Via Sarai Meer, Azamgarh-276305
Uttar Pradesh",Private
45,UNI0313,Uttar Pradesh,"Ajmal Khan Tibbiya College,
Near Tasveer Mahal,                Civil Lines, Aligarh-202002
Uttar Pradesh",Central Government
46,UNI0308,Uttar Pradesh,"Allama Iqbal Unani Medical College and ACN Hospital, Roorkee Raod, Near Satsang Bhawan, Deoband, Muzaffarnagar - 251002,       Uttar Pradesh",Private
47,UNI0309,Uttar Pradesh,"Aligarh Unani Medical College & ACN Hospital, AUAMC Campus, Kasimpur Road, Aligarh-202002 Uttar Pradesh",Private
S. No,College ID,State,Name of the College,Govt./Aided/Priv ate/ Deemed
48,UNI0316,Uttar Pradesh,"Hakim Rais Unani Medical College, Makhdoompur, Moradabad Road, Sambhal, Moradabad- 244301, Uttar Pradesh",Private
49,UNI0427,Uttar Pradesh,"Glocal Unani Medical College, Ali Akbarpur Mizarpur Pole, Saharanpur-247122, Uttar Pradesh",Private
50,UNI0515,Uttar Pradesh,"Hayat Unani Medical College and Research Centre, Hayat Complex, Hardoi Raod, Sikrori, Kakori, Lucknow- 226101, Uttar Pradesh",Private
51,UNI0310,Uttar Pradesh,"Sham-e-Ghausia Minority Unani Medical College & Hospital, Saheri, Via-Nandganj, Ghazipur-233001, Uttar Pradesh",Private
52,UNI0338,Uttar Pradesh,"Ghausia Unani Medical college & Hospital, Kanshmiripur, Post-Deomai, Fatehpur-212657, Uttar Pradesh",Private
53,UNI0464,Uttar Pradesh,"Sanskriti Unani Medical College & Hospital, 28 K. M. Stone, Mathura-Delhi Highway, Chhata Rural, Uttar Pradesh- 281401",Private
54,UNI0831,Uttar Pradesh,"National Institute of Unani Medicine, Hapur Road, Kamal Nehru Nagar, Near CBI Academy, Ghaziabad- 201002, Uttar Pradesh",National Institute (government)
55,UNI0357,Uttarakhand,"Uttaranchal Unani Medical College and Hospital, Mustafabadm Padartha, Laksar Road, Haridwar- 249405, Uttarakhand",Private
56,UNI0314,West Bengal,"Calcutta Unani Medical College & Hospital, 8/1, Abdul Halim Lane,
Kolkata-700016 West Bengal",Private